nome,distancia,motion,gauss
360_vert_0205.jpg,360,1,3
360_vert_0218.jpg,360,1,4
360_vert_0353.jpg,360,1,4
360_vert_0439.jpg,360,1,4
360_vert_0430.jpg,360,1,6
360_vert_0087.jpg,360,1,1
360_vert_0130.jpg,360,1,6
360_vert_0034.jpg,360,1,2
360_vert_0454.jpg,360,1,4
360_vert_0365.jpg,360,1,6
360_vert_0027.jpg,360,1,1
360_vert_0256.jpg,360,1,6
360_vert_0408.jpg,360,1,2
360_vert_0334.jpg,360,1,6
360_vert_0160.jpg,360,1,5
360_vert_0060.jpg,360,1,6
360_vert_0359.jpg,360,1,5
360_vert_0192.jpg,360,1,4
360_vert_0461.jpg,360,1,3
360_vert_0010.jpg,360,1,5
360_vert_0201.jpg,360,1,3
360_vert_0488.jpg,360,1,6
360_vert_0453.jpg,360,1,1
360_vert_0029.jpg,360,1,6
360_vert_0095.jpg,360,1,5
360_vert_0049.jpg,360,1,5
360_vert_0046.jpg,360,1,1
360_vert_0393.jpg,360,1,6
360_vert_0145.jpg,360,1,1
360_vert_0225.jpg,360,1,6
360_vert_0433.jpg,360,1,6
360_vert_0200.jpg,360,1,1
360_vert_0319.jpg,360,1,1
360_vert_0084.jpg,360,1,4
360_vert_0138.jpg,360,1,1
360_vert_0248.jpg,360,1,2
360_vert_0039.jpg,360,1,1
360_vert_0473.jpg,360,1,3
360_vert_0273.jpg,360,1,4
360_vert_0090.jpg,360,1,5
360_vert_0228.jpg,360,1,2
360_vert_0183.jpg,360,1,5
360_vert_0378.jpg,360,1,2
360_vert_0104.jpg,360,1,4
360_vert_0127.jpg,360,1,1
360_vert_0432.jpg,360,1,3
360_vert_0490.jpg,360,1,1
360_vert_0272.jpg,360,1,1
360_vert_0295.jpg,360,1,4
360_vert_0492.jpg,360,1,0
360_vert_0409.jpg,360,1,0
360_vert_0212.jpg,360,1,0
360_vert_0343.jpg,360,1,0
360_vert_0270.jpg,360,1,0
360_vert_0262.jpg,360,1,0
360_vert_0080.jpg,360,1,0
360_vert_0440.jpg,360,1,0
360_vert_0017.jpg,360,1,0
360_vert_0483.jpg,360,1,0
360_vert_0330.jpg,360,1,0
360_vert_0041.jpg,360,1,0
360_vert_0172.jpg,360,1,0
360_vert_0101.jpg,360,1,0
360_vert_0479.jpg,360,1,0
360_vert_0275.jpg,360,1,0
360_vert_0329.jpg,360,1,0
360_vert_0464.jpg,360,1,0
360_vert_0012.jpg,360,1,0
360_vert_0320.jpg,360,1,0
360_vert_0390.jpg,360,1,0
360_vert_0501.jpg,360,1,0
360_vert_0179.jpg,360,1,0
360_vert_0208.jpg,360,1,0
360_vert_0111.jpg,360,1,0
360_vert_0481.jpg,360,1,0
360_vert_0257.jpg,360,1,0
360_vert_0296.jpg,360,1,0
360_vert_0434.jpg,360,1,0
360_vert_0182.jpg,360,1,0
360_vert_0251.jpg,360,1,0
360_vert_0074.jpg,360,1,0
360_vert_0151.jpg,360,1,0
360_vert_0240.jpg,360,1,0
360_vert_0303.jpg,360,1,0
360_vert_0470.jpg,360,1,0
360_vert_0023.jpg,360,1,0
360_vert_0474.jpg,360,1,0
360_vert_0061.jpg,360,1,0
360_vert_0035.jpg,360,1,0
360_vert_0193.jpg,360,1,0
360_vert_0452.jpg,360,1,0
360_vert_0346.jpg,360,1,0
360_vert_0463.jpg,360,1,0
360_vert_0176.jpg,360,1,0
360_vert_0357.jpg,360,1,0
360_vert_0391.jpg,360,1,0
360_vert_0374.jpg,360,1,0
360_vert_0148.jpg,360,1,0
360_vert_0367.jpg,360,1,0
360_vert_0423.jpg,360,1,0
360_vert_0025.jpg,360,1,0
360_vert_0089.jpg,360,1,0
360_vert_0441.jpg,360,1,0
360_vert_0318.jpg,360,1,0
360_vert_0302.jpg,360,1,0
360_vert_0070.jpg,360,1,0
360_vert_0258.jpg,360,1,0
360_vert_0312.jpg,360,1,0
360_vert_0242.jpg,360,1,0
360_vert_0435.jpg,360,1,0
360_vert_0044.jpg,360,1,0
360_vert_0381.jpg,360,1,0
360_vert_0416.jpg,360,1,0
360_vert_0324.jpg,360,1,0
360_vert_0124.jpg,360,1,0
360_vert_0190.jpg,360,1,0
360_vert_0305.jpg,360,1,0
360_vert_0290.jpg,360,1,0
360_vert_0325.jpg,360,1,0
360_vert_0064.jpg,360,1,0
360_vert_0199.jpg,360,1,0
360_vert_0287.jpg,360,1,0
360_vert_0291.jpg,360,1,0
360_vert_0118.jpg,360,1,0
360_vert_0413.jpg,360,1,0
360_vert_0417.jpg,360,1,0
360_vert_0392.jpg,360,1,0
360_vert_0268.jpg,360,1,0
360_vert_0389.jpg,360,1,0
360_vert_0178.jpg,360,1,0
360_vert_0030.jpg,360,1,0
360_vert_0224.jpg,360,1,0
360_vert_0309.jpg,360,1,0
360_vert_0276.jpg,360,1,0
360_vert_0316.jpg,360,1,0
360_vert_0462.jpg,360,1,0
360_vert_0206.jpg,360,1,0
360_vert_0469.jpg,360,1,0
360_vert_0259.jpg,360,1,0
360_vert_0236.jpg,360,1,0
360_vert_0245.jpg,360,1,0
360_vert_0489.jpg,360,1,0
360_vert_0410.jpg,360,1,0
360_vert_0487.jpg,360,1,0
360_vert_0448.jpg,360,1,0
360_vert_0197.jpg,360,1,0
360_vert_0234.jpg,360,1,0
360_vert_0403.jpg,360,1,0
360_vert_0072.jpg,360,1,0
360_vert_0458.jpg,360,1,0
360_vert_0022.jpg,360,1,0
360_vert_0120.jpg,360,1,0
360_vert_0388.jpg,360,1,0
360_vert_0211.jpg,360,1,0
360_vert_0382.jpg,360,1,0
360_vert_0115.jpg,360,1,0
360_vert_0338.jpg,360,1,0
360_vert_0405.jpg,360,1,0
360_vert_0202.jpg,360,1,0
360_vert_0076.jpg,360,1,0
360_vert_0383.jpg,360,1,0
360_vert_0499.jpg,360,1,0
360_vert_0369.jpg,360,1,0
360_vert_0164.jpg,360,1,0
360_diag_0086.jpg,360,2,1
360_diag_0158.jpg,360,2,1
360_diag_0219.jpg,360,2,3
360_diag_0278.jpg,360,2,6
360_diag_0069.jpg,360,2,4
360_diag_0241.jpg,360,2,3
360_diag_0094.jpg,360,2,4
360_diag_0456.jpg,360,2,3
360_diag_0400.jpg,360,2,3
360_diag_0110.jpg,360,2,3
360_diag_0014.jpg,360,2,3
360_diag_0188.jpg,360,2,5
360_diag_0436.jpg,360,2,2
360_diag_0411.jpg,360,2,2
360_diag_0340.jpg,360,2,5
360_diag_0314.jpg,360,2,3
360_diag_0243.jpg,360,2,5
360_diag_0214.jpg,360,2,6
360_diag_0466.jpg,360,2,2
360_diag_0482.jpg,360,2,1
360_diag_0457.jpg,360,2,6
360_diag_0047.jpg,360,2,6
360_diag_0016.jpg,360,2,1
360_diag_0467.jpg,360,2,4
360_diag_0254.jpg,360,2,4
360_diag_0372.jpg,360,2,5
360_diag_0354.jpg,360,2,5
360_diag_0088.jpg,360,2,3
360_diag_0495.jpg,360,2,3
360_diag_0442.jpg,360,2,3
360_diag_0169.jpg,360,2,1
360_diag_0198.jpg,360,2,2
360_diag_0376.jpg,360,2,2
360_diag_0480.jpg,360,2,4
360_diag_0328.jpg,360,2,3
360_diag_0112.jpg,360,2,3
360_diag_0082.jpg,360,2,5
360_diag_0342.jpg,360,2,6
360_diag_0510.jpg,360,2,1
360_diag_0415.jpg,360,2,6
360_diag_0471.jpg,360,2,1
360_diag_0141.jpg,360,2,4
360_diag_0449.jpg,360,2,4
360_diag_0191.jpg,360,2,1
360_diag_0332.jpg,360,2,3
360_diag_0005.jpg,360,2,5
360_diag_0386.jpg,360,2,5
360_diag_0384.jpg,360,2,4
360_diag_0217.jpg,360,2,6
360_diag_0293.jpg,360,2,1
360_diag_0143.jpg,360,2,1
360_diag_0336.jpg,360,2,3
360_diag_0052.jpg,360,2,1
360_diag_0265.jpg,360,2,6
360_diag_0331.jpg,360,2,1
360_diag_0407.jpg,360,2,3
360_diag_0402.jpg,360,2,5
360_diag_0344.jpg,360,2,2
360_diag_0380.jpg,360,2,4
360_diag_0137.jpg,360,2,6
360_diag_0018.jpg,360,2,4
360_diag_0079.jpg,360,2,1
360_diag_0326.jpg,360,2,0
360_diag_0301.jpg,360,2,0
360_diag_0091.jpg,360,2,0
360_diag_0073.jpg,360,2,0
360_diag_0247.jpg,360,2,0
360_diag_0008.jpg,360,2,0
360_diag_0478.jpg,360,2,0
360_diag_0446.jpg,360,2,0
360_diag_0347.jpg,360,2,0
360_diag_0083.jpg,360,2,0
360_diag_0237.jpg,360,2,0
360_diag_0431.jpg,360,2,0
360_diag_0335.jpg,360,2,0
360_diag_0031.jpg,360,2,0
360_diag_0103.jpg,360,2,0
360_diag_0006.jpg,360,2,0
360_diag_0028.jpg,360,2,0
360_diag_0067.jpg,360,2,0
360_diag_0078.jpg,360,2,0
360_diag_0300.jpg,360,2,0
360_diag_0135.jpg,360,2,0
360_diag_0048.jpg,360,2,0
360_diag_0173.jpg,360,2,0
360_diag_0189.jpg,360,2,0
360_diag_0056.jpg,360,2,0
360_diag_0157.jpg,360,2,0
360_diag_0175.jpg,360,2,0
360_diag_0109.jpg,360,2,0
360_diag_0058.jpg,360,2,0
360_diag_0002.jpg,360,2,0
360_diag_0281.jpg,360,2,0
360_diag_0459.jpg,360,2,0
360_diag_0422.jpg,360,2,0
360_diag_0142.jpg,360,2,0
360_diag_0352.jpg,360,2,0
360_diag_0107.jpg,360,2,0
360_diag_0282.jpg,360,2,0
360_diag_0171.jpg,360,2,0
360_diag_0221.jpg,360,2,0
360_diag_0128.jpg,360,2,0
360_diag_0493.jpg,360,2,0
360_diag_0263.jpg,360,2,0
360_diag_0065.jpg,360,2,0
360_diag_0438.jpg,360,2,0
360_diag_0445.jpg,360,2,0
360_diag_0229.jpg,360,2,0
360_diag_0147.jpg,360,2,0
360_diag_0024.jpg,360,2,0
360_diag_0455.jpg,360,2,0
360_diag_0057.jpg,360,2,0
360_diag_0210.jpg,360,2,0
360_diag_0366.jpg,360,2,0
360_diag_0209.jpg,360,2,0
360_diag_0100.jpg,360,2,0
360_diag_0166.jpg,360,2,0
360_diag_0468.jpg,360,2,0
360_diag_0226.jpg,360,2,0
360_diag_0465.jpg,360,2,0
360_diag_0260.jpg,360,2,0
360_diag_0121.jpg,360,2,0
360_diag_0443.jpg,360,2,0
360_diag_0350.jpg,360,2,0
360_diag_0418.jpg,360,2,0
360_diag_0187.jpg,360,2,0
360_diag_0081.jpg,360,2,0
